running try 1, g=2, size=256, threads=32
running try 2, g=2, size=256, threads=32
running try 3, g=2, size=256, threads=32
running try 4, g=2, size=256, threads=32
running try 5, g=2, size=256, threads=32
running try 1, g=2, size=4096, threads=32
running try 2, g=2, size=4096, threads=32
running try 3, g=2, size=4096, threads=32
running try 4, g=2, size=4096, threads=32
running try 5, g=2, size=4096, threads=32
running try 1, g=2, size=65536, threads=32
running try 2, g=2, size=65536, threads=32
running try 3, g=2, size=65536, threads=32
running try 4, g=2, size=65536, threads=32
running try 5, g=2, size=65536, threads=32
running try 1, g=2, size=1048576, threads=32
running try 2, g=2, size=1048576, threads=32
running try 3, g=2, size=1048576, threads=32
running try 4, g=2, size=1048576, threads=32
running try 5, g=2, size=1048576, threads=32
running try 1, g=2, size=16777216, threads=32
running try 2, g=2, size=16777216, threads=32
running try 3, g=2, size=16777216, threads=32
running try 4, g=2, size=16777216, threads=32
running try 5, g=2, size=16777216, threads=32
running try 1, g=4, size=256, threads=32
running try 2, g=4, size=256, threads=32
running try 3, g=4, size=256, threads=32
running try 4, g=4, size=256, threads=32
running try 5, g=4, size=256, threads=32
running try 1, g=4, size=4096, threads=32
running try 2, g=4, size=4096, threads=32
running try 3, g=4, size=4096, threads=32
running try 4, g=4, size=4096, threads=32
running try 5, g=4, size=4096, threads=32
running try 1, g=4, size=65536, threads=32
running try 2, g=4, size=65536, threads=32
running try 3, g=4, size=65536, threads=32
running try 4, g=4, size=65536, threads=32
running try 5, g=4, size=65536, threads=32
running try 1, g=4, size=1048576, threads=32
running try 2, g=4, size=1048576, threads=32
running try 3, g=4, size=1048576, threads=32
running try 4, g=4, size=1048576, threads=32
running try 5, g=4, size=1048576, threads=32
running try 1, g=4, size=16777216, threads=32
running try 2, g=4, size=16777216, threads=32
running try 3, g=4, size=16777216, threads=32
running try 4, g=4, size=16777216, threads=32
running try 5, g=4, size=16777216, threads=32
running try 1, g=8, size=256, threads=32
running try 2, g=8, size=256, threads=32
running try 3, g=8, size=256, threads=32
running try 4, g=8, size=256, threads=32
running try 5, g=8, size=256, threads=32
running try 1, g=8, size=4096, threads=32
running try 2, g=8, size=4096, threads=32
running try 3, g=8, size=4096, threads=32
running try 4, g=8, size=4096, threads=32
running try 5, g=8, size=4096, threads=32
running try 1, g=8, size=65536, threads=32
running try 2, g=8, size=65536, threads=32
running try 3, g=8, size=65536, threads=32
running try 4, g=8, size=65536, threads=32
running try 5, g=8, size=65536, threads=32
running try 1, g=8, size=1048576, threads=32
running try 2, g=8, size=1048576, threads=32
running try 3, g=8, size=1048576, threads=32
running try 4, g=8, size=1048576, threads=32
running try 5, g=8, size=1048576, threads=32
running try 1, g=8, size=16777216, threads=32
running try 2, g=8, size=16777216, threads=32
running try 3, g=8, size=16777216, threads=32
running try 4, g=8, size=16777216, threads=32
running try 5, g=8, size=16777216, threads=32
